nconst,primaryName
nm0079560,Ger Beukenkamp
nm0079782,Victor Bevine
nm0079848,Robin Bextor
nm0079923,Joseph Beyer
nm0080067,Luciana Bezerra
nm0080139,Abhiram Bhadkamkar
nm0080171,Vashu Bhagnani
nm0080235,Vishal Bhardwaj
nm0080278,Vijay K. Bhaskar
nm0080315,Mahesh Bhatt
nm0080333,Vikram Bhatt
nm0080526,Laura Bialis
nm0080729,John Bianco
nm0081179,Thomas Bidegain
nm0081217,Antonio Bido
nm0081279,Rick Bieber
nm0081301,Jeff Biederman
nm0081334,Kevin Biegel
nm0081449,Dragan Bjelogrlic
nm0081597,Rudolf Biermann
nm0081907,Luca Biglione
nm0082122,Clara Bilbao
nm0082450,Paul Feig
nm0082776,Felix Binder
nm0082900,Rod Bingaman
nm0083111,Jodi Binstock
nm0083772,Peter Birro
nm0083795,Eva Birthistle
nm0083842,Yves Bisaillon
nm0084241,Claudio Bisio
nm0084334,Buzz Bissinger
nm0084502,Fabrício Bittar
nm0084535,Shane Bitterling
nm0085109,Aaron Blabey
nm0085116,Tommy Blacha
nm0085257,Dustin Lance Black
nm0085464,Pauline Black
nm0085938,Nathan Blackwell
nm0086301,Macon Blair
nm0086703,Richard Blake
nm0086745,Tessa Blake
nm0086912,Alain-Michel Blanc
nm0087187,Edouard Blanchot
nm0087610,Richard Blanshard
nm0087895,Andrea Blaugrund Nevins
nm0087984,Tommy Blaze
nm0088546,Ricky Blitt
nm0088627,Karen Bloch Morse
nm0088955,Neill Blomkamp
nm0088984,Anni Blomqvist
nm0089755,Judy Blume
nm0091067,Piero Bodrato
nm0091143,Cláudio Boeckel
nm0091335,Bobby Boermans
nm0091579,Timothy Scott Bogart
nm0092149,José Ángel Bohollo
nm0092419,Simon Boisvert
nm0092444,Julien Boivent
nm0092459,Jérôme Boivin
nm0092677,Katie Boland
nm0092995,Jonna Bolin-Cullberg
nm0093051,Uwe Boll
nm0093081,Icíar Bollaín
nm0093426,Martha Bolton
nm0093560,Mark Bomback
nm0093614,Seth Bomse
nm0093927,Edward Bond
nm0094137,Federico Bondi
nm0094274,Bertrand Bonello
nm0094306,Paul Bonesteel
nm0094480,Vittorio Bongiorno
nm0094524,Ian Bonhôte
nm0094565,Fabio Bonifacci
nm0094693,Marco Bonini
nm0094726,Pascal Bonitzer
nm0094744,Ron Bonk
nm0095054,Guillaume Bonnier
nm0095186,Michel Bonset
nm0096375,Sebastián Borensztein
nm0096539,António Borges Correia
nm0096625,Holger Borggrefe
nm0097077,Josephine Bornebusch
nm0097079,Ole Bornedal
nm0097106,Eduard Bornhöhe
nm0097119,Pascal Borno
nm0097504,Alex Borstein
nm0097580,Cristiano Bortone
nm0097674,Burny Bos
nm0097702,Tamara Bos
nm0097897,Samaresh Basu
nm0098086,Sabine Boss
nm0098454,Jaime Botella
nm0098524,Detlef Bothe
nm0099398,Nicolas Boukhrief
nm0099797,Pascal Bourdiaux
nm0099841,Gilles Bourdos
nm0100433,François Bouvier
nm0100468,Luuk Bouwman
nm0100509,Haim Bouzaglo
nm0100522,Laurent Bouzereau
nm0100691,Ian Bowater
nm0100785,Andy Bowles
nm0101047,David Bowers
nm0101119,Bob Bowersox
nm0101218,Barry Bowles
nm0101453,Andrew Bowser
nm0101639,Frank Cottrell Boyce
nm0101692,Alexandra Boyd
nm0101878,Paul Boyd
nm0101991,Philippa Boyens
nm0102153,Alexandra Boylan
nm0102311,Neil Boyle
nm0102629,F.A. Brabec
nm0103186,Dale G. Bradley
nm0103265,James Bradley
nm0103683,Matthew R. Brady
nm0103702,Pam Brady
nm0103785,Zach Braff
